,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,328.0,473.0,0.0,364.226,828.3135,17.92689999999999
1,1,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.1,316.777,307.0612,298.8286,292.0526,286.6764,282.6081,279.7365,277.962,277.2342,277.5905,279.1872,282.3179,287.4132,295.0185,305.7509,320.2462,339.1172,362.9588,392.4412,428.5436,324.0,471.0,364.226,121.9597,464.0875,17.92689999999999
2,2,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,0.2,315.6574,308.5607,302.5862,297.6607,293.7526,290.8665,289.0391,288.3361,288.85,290.6984,294.0228,298.9875,305.7806,314.6187,325.7577,339.5153,356.3104,376.7295,401.6368,432.3572,435.0,473.0,486.1857,57.094100000000026,342.1278,17.92689999999999
3,3,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,0.3,402.5605,376.1545,354.7038,337.5515,324.2377,314.3769,307.6071,303.582,301.9876,302.5647,305.1274,309.5745,315.8943,324.1674,334.573,347.4038,363.0981,382.2959,405.9384,435.4398,173.0,471.0,543.2798,38.56110000000001,285.03369999999995,17.92689999999999
4,4,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,0.4,199.8169,224.2382,245.3688,262.7327,276.3078,286.466,293.8571,299.2735,303.5307,307.382,311.4728,316.3309,322.3853,330.0022,339.5321,351.3633,365.9826,384.053,406.5203,434.7849,473.0,401.0,581.8409,49.507999999999925,246.4726,17.92689999999999
5,5,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,0.5,428.8268,393.2784,364.8548,342.7382,326.3232,314.9833,307.9996,304.5897,303.9816,305.4864,308.5474,312.7575,317.8533,323.6997,330.2774,337.6816,346.1352,356.0133,367.8767,382.5138,173.0,473.0,631.3489,45.42780000000005,196.9646,17.92689999999999
6,6,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,0.6,200.5033,225.5272,247.1121,264.7462,278.3985,288.4522,295.5773,300.5875,304.3173,307.5389,310.9236,315.0413,320.3848,327.4059,336.5534,348.309,363.2275,381.9958,405.533,435.1736,435.0,428.0,676.7767,44.46100000000001,151.53679999999997,17.92689999999999
7,7,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,0.7,400.2704,371.8802,349.0553,331.3504,318.367,309.6212,304.5233,302.4266,302.7033,304.8135,308.3484,313.0442,318.7754,325.5393,333.4432,342.7038,353.6616,366.8124,382.8587,402.7876,210.0,473.0,721.2377,32.20719999999994,107.07579999999996,17.92689999999999
8,8,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.8,229.3399,246.9024,262.0579,274.4821,284.1819,291.4547,296.8031,300.8356,304.1797,307.4206,311.073,315.5815,321.3406,328.7253,338.126,349.9836,364.8331,383.3645,406.5237,435.6905,435.0,426.0,753.4449,36.55510000000004,74.86860000000001,17.92689999999999
9,9,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,0.9,401.1221,373.5124,351.3186,334.0361,321.2424,312.4685,307.1706,304.764,304.6833,306.4387,309.6527,314.0725,319.5673,326.1175,333.8084,342.834,353.5145,366.3297,381.9674,401.399,174.0,473.0,790.0,38.313499999999976,38.313499999999976,17.92689999999999
10,10,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,329.0,471.0,0.0,364.2545,800.8221,17.14670000000001
11,11,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,0.1,317.5669,307.6727,299.2908,292.3923,286.9181,282.7736,279.844,278.0253,277.2626,277.5879,279.152,282.2425,287.2838,294.8146,305.4455,319.8055,338.5008,362.1177,391.3136,427.0447,322.0,473.0,364.2545,123.0154,436.5676,17.14670000000001
12,12,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,0.2,314.1094,307.3982,301.7444,297.0761,293.3649,290.621,288.889,288.2437,288.7878,290.6495,293.9803,298.9552,305.7728,314.6603,325.8841,339.7719,356.752,377.4205,402.6538,433.7971,431.0,473.0,487.2699,56.14530000000002,313.5522,17.14670000000001
13,13,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,0.3,399.4747,373.7655,352.8618,336.1456,323.1803,313.5967,307.0449,303.1895,301.7261,302.4041,305.0447,309.552,315.918,324.2251,334.6529,347.4943,363.1875,382.3734,405.9951,435.4695,173.0,473.0,543.4152,38.41750000000002,257.40689999999995,17.14670000000001
14,14,14.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,0.4,199.6759,223.9721,245.0054,262.3069,275.8551,286.019,293.4421,298.9098,303.2312,307.1545,311.3224,316.2627,322.4065,330.125,339.7751,351.7529,366.5549,384.8557,407.6175,436.2662,473.0,410.0,581.8327,50.80149999999992,218.9894,17.14670000000001
15,15,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,0.5,428.7883,393.2026,364.7455,342.6024,326.171,314.8281,307.8572,304.4796,303.9275,305.5187,308.7063,313.0969,318.4454,324.64,331.6887,339.7181,348.986,359.9074,373.0922,389.3962,174.0,471.0,632.6342,43.15350000000001,168.1879,17.14670000000001
16,16,16.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,0.6,201.3072,226.1513,247.5823,265.0946,278.6606,288.6643,295.7744,300.8014,304.5749,307.8599,311.3177,315.5046,320.8962,327.9242,337.0164,348.635,363.3198,381.7475,404.8315,433.897,426.0,436.0,675.7877,43.60379999999998,125.0344,17.14670000000001
17,17,17.0,17.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,0.7,393.4464,366.7472,345.2678,328.637,316.5006,308.4077,303.7995,302.0613,302.599,304.9063,308.6073,313.4709,319.4042,326.4377,334.7134,344.4835,356.1258,370.1771,387.3899,408.8238,237.0,471.0,719.3915,27.631700000000023,81.43060000000003,17.14670000000001
18,18,18.0,18.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,0.8,250.8265,263.4028,274.2559,283.1436,290.0785,295.3007,299.2131,302.305,305.0824,308.0204,311.5399,316.0101,321.7661,329.137,338.4778,350.2036,364.8316,383.0407,405.7696,434.3871,388.0,469.0,747.0232,31.23520000000008,53.7989,17.14670000000001
19,19,19.0,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,0.9,365.844,347.5633,332.8418,321.4638,313.2006,307.7633,304.8066,303.9656,304.9042,307.3564,311.1536,316.2362,322.6529,330.5561,340.2014,351.9554,366.3221,383.9932,405.9385,433.5644,260.0,473.0,778.2584,22.56369999999993,22.56369999999993,17.14670000000001
