,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,u,L,inst_cost,ctg,path_diff
0,0,0.0,0.0,,,,,,,,,,,,0.0,0.0,-1.0,3.553257145443545,0.0,0.0689087154,0.4339226487999999,0.0471724646
1,1,1.0,1.0,,,,,,,,,,,,0.1,-0.0779739899,-0.5667002956,-1.0221335152212945,0.0689087154,0.0363734181999999,0.3650139333999999,0.0471724646
2,2,2.0,2.0,,,,,,,,,,,,0.2,-0.1368471569,-0.61004048,0.113355765237922,0.1052821336,0.0359032814999999,0.3286405151999999,0.0471724646
3,3,3.0,3.0,,,,,,,,,,,,0.3,-0.1943519996,-0.5412000609,-1.6420425317689264,0.1411854151,0.0417883214,0.2927372336999999,0.0471724646
4,4,4.0,4.0,,,,,,,,,,,,0.4,-0.2537972563,-0.6459590574,1.3835304149714538,0.1829737365,0.0392973536,0.2509489122999999,0.0471724646
5,5,5.0,5.0,,,,,,,,,,,,0.5,-0.3085757367,-0.4528275354,-0.6891020987710255,0.2222710901,0.0328091976,0.2116515586999999,0.0471724646
6,6,6.0,6.0,,,,,,,,,,,,0.6,-0.3550013596,-0.4753121224,-0.0073927730098886,0.2550802877,0.0348143915999999,0.1788423610999999,0.0471724646
7,7,7.0,7.0,,,,,,,,,,,,0.7,-0.4002691746,-0.4307835847,-1.7158794544676463,0.2898946793,0.0438857369999999,0.1440279694999999,0.0471724646
8,8,8.0,8.0,,,,,,,,,,,,0.8,-0.4495640894,-0.5530766154,0.161573074096931,0.3337804163,0.0496220921,0.1001422324999999,0.0471724646
9,9,9.0,9.0,,,,,,,,,,,,0.9,-0.50141483,-0.4850685673,-0.3361063687964101,0.3834025084,0.0505201403999999,0.0505201403999999,0.0471724646
