,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,u,L,inst_cost,ctg,path_diff
0,0,0.0,,,,,,,,,,,,0.0,0.0,-1.0,6.328325427343467,0.0,0.0659231334,2.3119250022,0.1646957778
1,1,1.0,,,,,,,,,,,,0.1,-0.0645498262,-0.3026176311,-20.689407197652308,0.0659231334,0.4129065815,2.2460018688,0.1646957778
2,2,2.0,,,,,,,,,,,,0.2,-0.1934310139,-2.2426771631,17.522131584150568,0.4788297149,0.3561342452,1.8330952873,0.1646957778
3,3,3.0,,,,,,,,,,,,0.3,-0.322088092,-0.3618069266,-17.019627364924098,0.8349639601,0.3157086354999999,1.4769610421,0.1646957778
4,4,4.0,,,,,,,,,,,,0.4,-0.4388496157,-1.9470081394,13.616763099106857,1.1506725956,0.2798003124000001,1.1612524066000005,0.1646957778
5,5,5.0,,,,,,,,,,,,0.5,-0.5582619739,-0.4659194713,1.7472895903356256,1.430472908,0.0481914476,0.8814520942000001,0.1646957778
6,6,6.0,,,,,,,,,,,,0.6,-0.594148264,-0.2553042222,1.3227629974128623,1.4786643556,0.0407919346999998,0.8332606466000001,0.1646957778
7,7,7.0,,,,,,,,,,,,0.7,-0.6120449898,-0.1051311966,-19.826590515882547,1.5194562903,0.3803366514999999,0.7924687119000002,0.1646957778
8,8,8.0,,,,,,,,,,,,0.8,-0.7179590404,-1.9818761977,14.722093716625244,1.8997929418,0.3297222410000002,0.4121320604000003,0.1646957778
9,9,9.0,,,,,,,,,,,,0.9,-0.8353425915,-0.3922832748,2.4095199962871545,2.2295151828,0.0824098194,0.0824098194,0.1646957778
10,10,10.0,,,,,,,,,,,,0.0,0.0,-1.0,6.898756589836263,0.0,0.066855062,3.0608829985,0.2125112162
11,11,11.0,,,,,,,,,,,,0.1,-0.0617904122,-0.2483339288,-19.87668958725802,0.066855062,0.3713445332,2.9940279365,0.2125112162
